ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,_count,_sum,_mean
"11213","0",Brooklyn,62426.00000000,29631004.43793900,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,33.000000000000000,235.673171043395996,7.141611243739272
"11212","0",Brooklyn,83866.00000000,41972104.07141980,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,45.000000000000000,330.777565479278564,7.350612566206190
"11225","0",Brooklyn,56527.00000000,23698630.12492520,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,25.000000000000000,180.045013904571533,7.201800556182861
"11218","0",Brooklyn,72280.00000000,36868798.98975620,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,39.000000000000000,277.337114810943604,7.111208072075477
"11226","0",Brooklyn,106132.00000000,39408598.27901170,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,41.000000000000000,293.363711357116699,7.155212472124798
"11219","0",Brooklyn,92561.00000000,42002738.46723040,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,43.000000000000000,307.601741313934326,7.153528867765915
"11210","0",Brooklyn,67067.00000000,47887022.99216040,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,48.000000000000000,330.129752159118652,6.877703169981639
"11230","0",Brooklyn,80857.00000000,49926703.39331720,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,52.000000000000000,356.860707283020020,6.862705909288847
"11204","0",Brooklyn,77354.00000000,43555184.61328500,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,44.000000000000000,303.586877822875977,6.899701768701727
"11222","0",Brooklyn,36315.00000000,42825293.23670200,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,38.000000000000000,334.826667785644531,8.811228099622225
"11237","0",Brooklyn,49335.00000000,27425868.17131330,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,26.000000000000000,230.968516349792480,8.883404474992018
"11206","0",Brooklyn,83575.00000000,40700720.97272910,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,42.000000000000000,360.623573303222656,8.586275554838634
"11251","0",Brooklyn,74.00000000,10245952.25424220,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,11.000000000000000,82.934692859649658,7.539517532695424
"11201","0",Brooklyn,53041.00000000,41094886.76573650,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,40.000000000000000,310.350169181823730,7.758754229545593
"11205","0",Brooklyn,41125.00000000,23270147.94976230,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,23.000000000000000,181.358111381530762,7.885135277457859
"11208","0",Brooklyn,94410.00000000,79303684.26399100,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,80.000000000000000,551.238215446472168,6.890477693080902
"11207","0",Brooklyn,93556.00000000,73966260.54106100,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,76.000000000000000,549.426384925842285,7.229294538497925
"11217","0",Brooklyn,36615.00000000,21648157.79603730,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,23.000000000000000,181.335945129394531,7.884171527364980
"11238","0",Brooklyn,46664.00000000,29429423.46147940,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,31.000000000000000,232.366859912872314,7.495705158479752
"11231","0",Brooklyn,33144.00000000,39379691.79406370,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,42.000000000000000,337.360544681549072,8.032393920989264
"11215","0",Brooklyn,63272.00000000,61922821.74616380,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,64.000000000000000,476.041044235229492,7.438141316175461
"11231","0",Brooklyn,33144.00000000,701979.38531194,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,0.345959724969803,2.457105608192257,7.102288014614205
"11232","0",Brooklyn,29521.00000000,55879065.15026980,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,56.000000000000000,438.516694068908691,7.830655251230512
"11203","0",Brooklyn,78060.00000000,60644835.45615650,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,60.000000000000000,422.153546810150146,7.035892446835835
"11239","0",Brooklyn,12562.00000000,41794660.76719670,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,43.000000000000000,277.721205711364746,6.458632690961971
"11236","0",Brooklyn,94480.00000000,96373991.62010460,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,95.000000000000000,673.519818305969238,7.089682297957571
"11220","0",Brooklyn,97257.00000000,47453785.79063740,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,47.000000000000000,361.928067207336426,7.700597174624179
"11234","0",Brooklyn,85853.00000000,206201040.08797300,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,196.000000000000000,1240.991154193878174,6.331587521397338
"11209","0",Brooklyn,69255.00000000,57842313.96122720,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,60.000000000000000,404.585055828094482,6.743084263801575
"11228","0",Brooklyn,43080.00000000,43893024.73172240,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,46.000000000000000,305.803833961486816,6.647909433945365
"11229","0",Brooklyn,79608.00000000,60119326.14426950,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,60.000000000000000,393.293750286102295,6.554895838101705
"11214","0",Brooklyn,89061.00000000,61096539.38914650,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,59.000000000000000,392.064311027526855,6.645157814025879
"11223","0",Brooklyn,79864.00000000,58702923.46629960,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,61.000000000000000,407.571063041687012,6.681492836748967
"11235","0",Brooklyn,76130.00000000,69053803.03171340,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,63.000000000000000,409.906887054443359,6.506458524673704
"11224","0",Brooklyn,49600.00000000,46701983.75363910,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,47.000000000000000,303.379113674163818,6.454874759024762
"11221","0",Brooklyn,80232.00000000,38580480.43430750,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,42.000000000000000,303.295577049255371,7.221323263077509
"11216","0",Brooklyn,53862.00000000,26478229.26344330,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,26.000000000000000,192.271137237548828,7.395043739905725
"11233","0",Brooklyn,66737.00000000,37871693.68225430,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,38.000000000000000,268.168092727661133,7.057055071780556
"11211","0",Brooklyn,60861.00000000,40470881.67128340,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,41.000000000000000,361.471120834350586,8.816368800837820
"11249","0",Brooklyn,28481.00000000,17772206.17012020,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,19.000000000000000,154.917418003082275,8.153548315951699
